Case ID,Case Number,Account ID,Contact ID,Subject,Description,Status,Priority,Origin,Type,Created Date,Closed Date
CAS-001,1,ACC-001,CON-001,Integration configuration issue,Support request logged after a discussion with the account team.,Closed,Critical,Email,Feature Request,2/6/2026,2/9/2026
CAS-002,2,ACC-002,CON-002,Data import failed,Customer needs guidance on configuration and next steps.,Escalated,High,Phone,Problem,3/11/2026,
CAS-003,3,ACC-003,CON-003,Unexpected application error,Issue reproduced with the details supplied; follow-up is in progress.,Working,Medium,Chat,Question,4/16/2026,
CAS-004,4,ACC-004,CON-004,Password reset assistance,Customer reported an issue and requested assistance from the support team.,New,Low,Web,Feature Request,5/21/2026,
CAS-005,5,ACC-005,CON-005,Billing question,Support request logged after a discussion with the account team.,Closed,Critical,Email,Problem,6/26/2026,6/28/2026
CAS-006,6,ACC-006,CON-006,Report export is incomplete,Customer needs guidance on configuration and next steps.,Escalated,High,Phone,Question,7/4/2026,
CAS-007,7,ACC-007,CON-007,Request for feature enhancement,Issue reproduced with the details supplied; follow-up is in progress.,Working,Medium,Chat,Feature Request,1/9/2026,
CAS-008,8,ACC-008,CON-008,Unable to access dashboard,Customer reported an issue and requested assistance from the support team.,New,Low,Web,Problem,2/14/2026,
CAS-009,9,ACC-009,CON-009,Integration configuration issue,Support request logged after a discussion with the account team.,Closed,Critical,Email,Question,3/19/2026,3/22/2026
CAS-010,10,ACC-010,CON-010,Data import failed,Customer needs guidance on configuration and next steps.,Escalated,High,Phone,Feature Request,4/24/2026,
CAS-011,11,ACC-011,CON-011,Unexpected application error,Issue reproduced with the details supplied; follow-up is in progress.,Working,Medium,Chat,Problem,5/2/2026,
CAS-012,12,ACC-012,CON-012,Password reset assistance,Customer reported an issue and requested assistance from the support team.,New,Low,Web,Question,6/7/2026,
CAS-013,13,ACC-013,CON-013,Billing question,Support request logged after a discussion with the account team.,Closed,Critical,Email,Feature Request,7/12/2026,7/15/2026
CAS-014,14,ACC-014,CON-014,Report export is incomplete,Customer needs guidance on configuration and next steps.,Escalated,High,Phone,Problem,1/17/2026,
CAS-015,15,ACC-015,CON-015,Request for feature enhancement,Issue reproduced with the details supplied; follow-up is in progress.,Working,Medium,Chat,Question,2/22/2026,
CAS-016,16,ACC-016,CON-016,Unable to access dashboard,Customer reported an issue and requested assistance from the support team.,New,Low,Web,Feature Request,3/27/2026,
CAS-017,17,ACC-017,CON-017,Integration configuration issue,Support request logged after a discussion with the account team.,Closed,Critical,Email,Problem,4/5/2026,4/8/2026
CAS-018,18,ACC-018,CON-018,Data import failed,Customer needs guidance on configuration and next steps.,Escalated,High,Phone,Question,5/10/2026,
CAS-019,19,ACC-019,CON-019,Unexpected application error,Issue reproduced with the details supplied; follow-up is in progress.,Working,Medium,Chat,Feature Request,6/15/2026,
CAS-020,20,ACC-020,CON-020,Password reset assistance,Customer reported an issue and requested assistance from the support team.,New,Low,Web,Problem,7/20/2026,
CAS-021,21,ACC-021,CON-021,Billing question,Support request logged after a discussion with the account team.,Closed,Critical,Email,Question,1/25/2026,1/28/2026
