Account ID,Account Name,Industry,Phone,Website,Billing City,Billing State,Annual Revenue,Number of Employees,Type,Created Date
ACC-001,Northstar Health,Education,-655,northstarhealth.example.com,Austin,TX,685000,42,Prospect,2/4/2026
ACC-002,BluePeak Industries,Financial Services,-656,bluepeakindustries.example.com,Denver,CO,870000,59,Partner,3/7/2026
ACC-003,Summit Solutions,Media,-657,summitsolutions.example.com,Seattle,WA,1055000,76,Customer,4/10/2026
ACC-004,Evergreen Logistics,Manufacturing,-658,evergreenlogistics.example.com,Boston,MA,1240000,93,Prospect,5/13/2026
ACC-005,Brightline Consulting,Healthcare,-659,brightlineconsulting.example.com,Chicago,IL,1425000,110,Partner,6/16/2026
ACC-006,Cedar Ventures,Logistics,-660,cedarventures.example.com,Atlanta,GA,1610000,127,Customer,7/19/2026
ACC-007,Nimbus Systems,Retail,-661,nimbussystems.example.com,Portland,OR,1795000,144,Prospect,1/22/2026
ACC-008,Harbor Foods,Technology,-662,harborfoods.example.com,Raleigh,NC,1980000,161,Partner,2/25/2026
ACC-009,Atlas Networks,Education,-663,atlasnetworks.example.com,Austin,TX,2165000,178,Customer,3/1/2026
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
